S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
89,Chinese Church Union (Singapore),Registered,S71SS0015D,Not Applicable,Religious,Christianity,Supports other Charities
90,CHINESE CULTURAL ASSOCIATION,Registered,T11SS0134F,Not Applicable,Arts and Heritage,"Historical & Cultural Conservation,Traditional Ethnic Performing Arts,Visual Arts",
91,Choa Chu Kang Yew Tee Chun Lian He Miow,Registered,S98SS0158L,Not Applicable,Religious,Taoism,Direct Services
92,CHONG HOCK TONG,Registered,T12SS0083E,Not Applicable,Religious,Taoism,Direct Services
93,CHOU SING CHU FOUNDATION,Registered,200414000R,Not Applicable,Others,General Charitable Purposes,Training & education
94,CHOW & CHOWS CHARITY LTD.,Registered,201325771N,Not Applicable,Social and Welfare,"Children/Youth,Community,Disability (Children),Family,Support Groups","Financial assistance, bursaries & scholarships"
95,CHOW & CHOWS CHILDCARE & EARLY LEARNING CENTRE (FENGSHAN) LTD.,Registered,201404167K,Not Applicable,Social and Welfare,Children/Youth,"Financial assistance, bursaries & scholarships Training & education"
96,CHOW TAI FOOK CHARITY FOUNDATION (SINGAPORE) LIMITED,Registered,201604228M,Not Applicable,Others,General Charitable Purposes,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
97,Christ Tabernacle,Registered,S90SS0028J,Not Applicable,Religious,Christianity,Training & education
98,CHRISTIAN CARE SERVICES (SINGAPORE),Registered,S99SS0072D,Not Applicable,Social and Welfare,Community,
99,CHRISTIAN COUNSELLING SERVICES,Registered,T12SS0078B,Not Applicable,Social and Welfare,"Community,Support Groups","Public awareness, promotion & advisory"
100,Christian Ekklesia,Registered,S93SS0032J,Not Applicable,Religious,Christianity,Supports other Charities
101,CHRISTIAN PAROUSIA FELLOWSHIP (SINGAPORE),Registered,S93SS0117C,Not Applicable,Religious,Christianity,Supports other Charities Training & education
102,"CHRISTIAN SCIENCE SOCIETY, SINGAPORE",Registered,S61SS0063A,Not Applicable,Religious,Christianity,Direct Services
