S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
310,JURONG SPRING CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T11CC0005A,From 01/1/2022 to 31/12/2024,Community,South West,"Financial assistance, bursaries & scholarships"
311,Kadhampa Buddhist Association (Singapore),Registered,S95SS0121J,Not Applicable,Religious,Buddhism,Direct Services Supports other Charities Training & education
312,KAMPONG KAPOR METHODIST CHURCH,Registered,S87CC0537K,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
313,Karma Kagyud Buddhist Centre,Registered,S81SS0029G,Not Applicable,Religious,Buddhism,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education"
314,KATONG PRESBYTERIAN CHURCH,Registered,T12SS0172F,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Training & education"
315,Kay Poh Road Baptist Church,Registered,S64SS0019L,Not Applicable,Religious,Christianity,Training & education
316,Kew Ong Yah Temple (Upper Serangoon),Registered,S21CC0001E,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory Supports other Charities"
317,Khalsa Dharmak Sabha,Registered,S24SS0001D,Not Applicable,Religious,Others,Supports other Charities
318,KHOO CHWEE NEO FOUNDATION LTD.,Registered,201501865E,Not Applicable,Social and Welfare,"Children/Youth,Disability (Adult),Disability (Children),Eldercare",Grantmaking Supports other Charities
319,Kim Tian Christian Church Singapore,Registered,S66SS0042J,Not Applicable,Religious,Christianity,
320,King of Glory Church,Registered,T00SS0052C,Not Applicable,Religious,Christianity,Direct Services
321,Kingdom Life Community Church,Registered,S95SS0041F,Not Applicable,Religious,Christianity,Direct Services
322,KINGDOMCITY SINGAPORE LIMITED,Registered,201507765H,Not Applicable,Religious,Christianity,Training & education
323,KRETA AYER PEOPLE'S THEATRE FOUNDATION,Registered with IPC,197500851C,From 21/6/2022 to 20/6/2024,Arts and Heritage,,"Financial assistance, bursaries & scholarships Public awareness, promotion & advisory"
324,"Kuang Chee Tng Buddhist Association, Singapore",Registered,S61SS0183B,Not Applicable,Religious,Buddhism,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
325,KUO PAO KUN FOUNDATION LIMITED,Registered,200722797E,Not Applicable,Arts and Heritage,Others,Supports other Charities
326,KWAN-IN WELFARE SOCIETY,Registered,S75SS0041L,Not Applicable,Religious,Buddhism,"Financial assistance, bursaries & scholarships"
327,LEAP FOUNDATION LTD.,Registered,200906548Z,Not Applicable,Others,General Charitable Purposes,
328,LEAP PHILANTHROPY LTD.,Registered,201228788H,Not Applicable,Others,General Charitable Purposes,"Grantmaking Public awareness, promotion & advisory Research"
329,LEE KIM TAH FOUNDATION,Registered,197902917W,Not Applicable,Social and Welfare,"Community,Disability (Adult),Disability (Children),Eldercare,Support Groups",Supports other Charities
330,LEE KUAN YEW SCHOLARSHIP FUND,Registered with IPC,199104843M,From 26/9/2022 to 25/9/2025,Education,Foundations & Trusts,Training & education
331,LENG ERN JEE (TEMPLE),Registered,S68SS0025H,Not Applicable,Religious,Buddhism,"Financial assistance, bursaries & scholarships Supports other Charities"
332,LENG HUP SAN CHEE CHEA TEMPLE,Registered,S84SS0022F,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory"
