S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
201,DAUGHTERS OF TOMORROW LIMITED,Registered with IPC,201425430M,From 09/10/2022 to 08/1/2024,Social and Welfare,Family,"Direct Services Public awareness, promotion & advisory Training & education"
202,DAVID COLVIN SCOTT FOUNDATION LIMITED,Registered,201202548N,Not Applicable,Social and Welfare,Community,
203,DEAF SPORTS ASSOCIATION (SINGAPORE),Registered,T12SS0228C,From 07/3/2020 to 31/3/2023,Sports,"Competitive Sports,Disability Sports,Non-NSAs,Youth Sports","Direct Services Supports other Charities Grantmaking Training & education Public awareness, promotion & advisory"
204,Deeper Life Christian Center (DLCC ),Registered,S92SS0025J,Not Applicable,Religious,Christianity,Direct Services
205,Dermatological Society of Singapore,Registered,S72SS0047E,Not Applicable,Health,Others,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
206,"Design Society, The",Registered,T09SS0071G,Not Applicable,Arts and Heritage,Others,
207,"Dharma Cakra Society, The",Registered,S69SS0051L,Not Applicable,Religious,Buddhism,"Direct Services Public awareness, promotion & advisory Supports other Charities"
208,DI ZANG LIN,Registered,T02SS0181A,Not Applicable,Religious,Buddhism,"Financial assistance, bursaries & scholarships Supports other Charities Public awareness, promotion & advisory"
209,DISCIPLESHIP TRAINING CENTRE LTD,Registered,197100578E,Not Applicable,Religious,Christianity,Training & education
210,Domestic Employees Welfare Fund,Registered with IPC,T16CC0008C,From 10/3/2022 to 09/9/2024,Social and Welfare,Support Groups,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
211,DR LOUIS SAMMY FUND,Registered,S84CC0090K,Not Applicable,Health,Others,"Financial assistance, bursaries & scholarships Supports other Charities"
212,DR TAN TSZE CHOR - SINGAPORE ART SOCIETY TRUST,Registered,T03CC1700L,Not Applicable,Arts and Heritage,Visual Arts,
213,DR TOH CHIN CHYE BENEVOLENT FUND FOR THE AGED,Registered,S89CC0692F,Not Applicable,Community,Central,"Financial assistance, bursaries & scholarships"
214,Dragon Lotus Hill Temple,Registered,S95SS0033D,Not Applicable,Religious,Taoism,Direct Services
215,DUNMAN'S TRUST,Registered,S84CC0113D,Not Applicable,Others,General Charitable Purposes,
216,Eckankar Satsang Singapore,Registered,S79SS0022F,Not Applicable,Religious,Others,
217,Eden Community Services Centre,Registered,S99SS0093K,Not Applicable,Social and Welfare,"Children/Youth,Community,Family",
218,ELIM COMMUNITY SERVICES LTD.,Registered,202020804E,Not Applicable,Social and Welfare,Community,Direct Services
219,EMMANUEL BAPTIST FELLOWSHIP LTD.,Registered,197701716N,Not Applicable,Religious,Christianity,
220,Emmanuel Christian Church,Registered,S97SS0105D,Not Applicable,Religious,Christianity,Direct Services Training & education
221,Emmanuel Church of Singapore,Registered,S70SS0022E,Not Applicable,Religious,Christianity,
222,Emmanuel Reformed Bible College,Registered,T15SS0083J,Not Applicable,Religious,Christianity,Training & education
223,ENDOCRINE & METABOLIC SOCIETY OF SINGAPORE RESEARCH FUND,Deregistered,S86CC0400E,Not Applicable,Health,Others,"Financial assistance, bursaries & scholarships Training & education Research"
224,Endocrine and Metabolic Society of Singapore,Registered,S71SS0056J,Not Applicable,Health,Others,"Financial assistance, bursaries & scholarships Training & education Research"
225,Eng Kong Christian Church,Registered,S93SS0101L,Not Applicable,Religious,Christianity,Direct Services
226,ENGINEERING GOOD LTD.,Registered,201408320W,Not Applicable,Others,Humanitarian Aid,"Public awareness, promotion & advisory"
227,Epilepsy Care Group (Singapore),Registered with IPC,S95SS0164F,From 09/8/2022 to 08/8/2025,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Training & education Research"
228,Epworth Community Services,Registered with IPC,T08SS0123D,From 01/3/2022 to 28/2/2025,Social and Welfare,"Children/Youth,Community,Family","Direct Services Financial assistance, bursaries & scholarships Training & education"
229,EST OF HENRY BOLTER DEC'D,Registered,S83CC0020C,Not Applicable,Social and Welfare,Community,
230,EUNOS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S89CC0679A,From 01/7/2021 to 30/6/2024,Community,North East,"Financial assistance, bursaries & scholarships"
231,EVANGEL CHRISTIAN CHURCH LTD,Registered,198201011E,Not Applicable,Religious,Christianity,
232,"Evangelical Free Church of Singapore, The,",Registered,S61SS0157D,Not Applicable,Religious,Christianity,Direct Services
233,EVANGELICAL THEOLOGICAL COLLEGE OF ASIA,Registered,201610151M,Not Applicable,Religious,Christianity,Training & education
234,Evangelism Equipping Mission (Singapore),Registered,S90SS0008K,Not Applicable,Religious,Christianity,Training & education
235,EXCLUSIVELY MONGRELS LIMITED,Registered,201216939N,Not Applicable,Others,Animal Welfare,"Public awareness, promotion & advisory Training & education"
236,EXTRAORDINARY PEOPLE LIMITED,Registered with IPC,201719854W,From 29/9/2021 to 28/9/2024,Social and Welfare,"Disability (Adult),Disability (Children)","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
237,Faith Antioch Hub,Registered,T05SS0248C,Not Applicable,Religious,Christianity,
238,FAITH MISSION HOME LTD,Registered,197900124H,Not Applicable,Religious,Christianity,Direct Services Training & education
239,FAITH SANCTUARY,Registered,S93SS0116G,Not Applicable,Religious,Christianity,
240,Family Enrichment Society,Registered,S98SS0035L,Not Applicable,Social and Welfare,Family,Training & education
241,Family Life Society,Deregistered,S85SS0018D,,Social and Welfare,Family,Direct Services
242,Family of Grace Evangelical Free Church,Registered,T07SS0225D,Not Applicable,Religious,Christianity,Direct Services
243,FAUNA & FLORA INTERNATIONAL (SINGAPORE),Deregistered,201133836K,Not Applicable,Others,Environment,
244,"Federation of Art Societies, Singapore",Registered,S92SS0016L,Not Applicable,Arts and Heritage,Visual Arts,"Public awareness, promotion & advisory Training & education"
245,FELLOWSHIP OF CHRISTIAN ATHLETES SINGAPORE LIMITED,Registered,201300850N,Not Applicable,Religious,Christianity,Direct Services Training & education
246,FENGSHAN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S89CC0688K,From 01/7/2021 to 30/6/2024,Community,South East,"Financial assistance, bursaries & scholarships"
247,Fernvale CCC Community Development and Welfare Fund,Registered with IPC,S99CC1387B,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
248,Festival of Praise Fellowship,Registered,S98SS0112D,Not Applicable,Religious,Christianity,
249,FLAMENCO SIN FRONTERAS LTD.,Registered,201132553D,Not Applicable,Arts and Heritage,"Professional, Contemporary & Ethnic Dance","Public awareness, promotion & advisory Training & education"
250,FLORA SHOOKER TRUST,Registered,S85CC0188B,Not Applicable,Religious,Others,
251,Fo Guang Shan (Singapore),Registered,T00SS0024B,Not Applicable,Religious,Buddhism,Supports other Charities Training & education
252,Fook Tet Soo Hakka Temple,Registered,T07SS0006H,Not Applicable,Religious,Taoism,
253,FOOTBALLPLUS LTD.,Registered with IPC,201329363K,From 14/8/2020 to 31/8/2023,Sports,"Competitive Sports,Non-NSAs,Others,Youth Sports","Direct Services Public awareness, promotion & advisory Training & education"
254,FOUNDATION FOR THE ARTS AND SOCIAL ENTERPRISE LIMITED,Registered with IPC,201303721C,From 21/8/2022 to 20/8/2024,Arts and Heritage,"Literary Arts,Music & Orchestras,Training & Education,Visual Arts","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
255,"Free Christian Church of Singapore, The",Registered,S61SS0112D,Not Applicable,Religious,Christianity,Direct Services
256,FREE FOOD FOR ALL LTD.,Registered with IPC,201503391Z,From 27/3/2022 to 26/3/2024,Social and Welfare,Community,
257,Free Presbyterian Church of Scotland (Singapore),Registered,S94SS0050K,Not Applicable,Religious,Christianity,
258,Friends of the Disabled Society,Registered,T00SS0207F,Not Applicable,Social and Welfare,Disability (Adult),Direct Services
259,FRUITFUL VINE CHURCH,Registered,T02SS0162J,Not Applicable,Religious,Christianity,Training & education
260,FU FOUNDATION LTD.,Registered,202027095H,Not Applicable,Social and Welfare,Children/Youth,"Grantmaking Financial assistance, bursaries & scholarships Supports other Charities"
261,FUAN TEMPLE,Registered,S85SS0076J,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships"
262,Fuk Tuck Chee Association,Registered,S92SS0026E,Not Applicable,Religious,Taoism,Supports other Charities
263,FULLERTON HEALTH FOUNDATION LIMITED,Registered,201543817H,Not Applicable,Health,,"Direct Services Grantmaking Financial assistance, bursaries & scholarships Supports other Charities Training & education"
264,GATEKEEPERS (SINGAPORE),Registered,S75SS0053H,Not Applicable,Religious,Christianity,Training & education
265,GEM NEW START CENTRE LIMITED,Registered with IPC,201314600E,From 06/11/2021 to 05/11/2023,Social and Welfare,Community,Direct Services Training & education
266,General Board of True Jesus Mission,Registered,S62SS0040H,Not Applicable,Religious,Christianity,
267,German Speaking Protestant Congregation In Singapore,Registered,S93SS0067D,Not Applicable,Religious,Christianity,Direct Services Supports other Charities Training & education
268,Gerontological Society,Registered,S86SS0037A,Not Applicable,Health,Others,"Public awareness, promotion & advisory Training & education Research"
269,GESS FUND LTD.,Registered,201227734E,Not Applicable,Education,Others,Training & education
270,Geylang New Testament Church,Registered,S81SS0003K,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory"
271,GEYLANG SERAI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S92CC0856H,From 01/4/2023 to 31/3/2026,Community,South East,"Financial assistance, bursaries & scholarships"
272,Geylang United Temple,Registered,S81SS0035F,Not Applicable,Religious,Taoism,Direct Services
273,GIOK HONG TIAN TEMPLE,Registered,T00CC1425B,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory Supports other Charities"
274,GK1WORLD (SINGAPORE) LTD.,Deregistered,201201657N,Not Applicable,Others,General Charitable Purposes,
275,Glad Tidings Gateway,Registered,T06SS0197B,Not Applicable,Religious,Christianity,
276,GLAXOSMITHKLINE-EDB HRD FUND,Registered,S91CC0817A,Not Applicable,Others,General Charitable Purposes,
277,Glory Centre,Registered,S97SS0056A,Not Applicable,Religious,Christianity,
278,Glory Centre Community Services Association,Registered,T04SS0029B,Not Applicable,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships"
279,Glory Joy Christian Church,Registered,S89SS0048F,Not Applicable,Religious,Christianity,Direct Services
280,"Glory Korean Methodist Church (Singapore), The",Registered,T06SS0151F,Not Applicable,Religious,Christianity,Training & education
281,GLORY SANCTUARY,Registered,S95SS0117B,Not Applicable,Religious,Christianity,
282,GLYPH COMMUNITY LIMITED,Registered,202118099N,Not Applicable,Social and Welfare,"Children/Youth,Children/Youth",Direct Services
283,GO! CARE LTD.,Registered,201938702E,Not Applicable,Social and Welfare,"Community,Family",Training & education
284,God@Work,Registered,T04SS0058K,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory"
285,GOH KENG SWEE FOUNDATION LTD.,Deregistered,200818254M,Not Applicable,Others,General Charitable Purposes,
286,GOOD GIFTS CITY CHURCH,Registered,S97SS0173C,Not Applicable,Religious,Christianity,
287,GOSHEN INTERNATIONAL MINISTRIES LIMITED,Registered,198204059M,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities Training & education"
288,Gospel Baptist Church,Registered,S89SS0019J,Not Applicable,Religious,Christianity,Direct Services
289,Gospel Light Bible- Presbyterian Church,Registered,S97SS0038E,Not Applicable,Religious,Christianity,
290,GOSPEL MISSION TO THE BLIND LIMITED,Registered,198400544Z,Not Applicable,Religious,Christianity,
291,Gospel Operation for Chinese Christians,Registered,S98SS0011F,Not Applicable,Religious,Christianity,
292,GRACE BAPTIST MINISTRIES,Registered,S94SS0014G,Not Applicable,Religious,Christianity,
293,GRACE BETHESDA CHURCH LTD,Registered,198000750D,Not Applicable,Religious,Christianity,
294,Grace Bible Church,Registered,T00SS0135E,Not Applicable,Religious,Christianity,
295,Grace Christian Centre,Registered,S99SS0016B,Not Applicable,Religious,Christianity,Training & education
296,"Graduates' Christian Fellowship, Singapore",Registered,S61SS0148F,Not Applicable,Religious,Christianity,"Research Financial assistance, bursaries & scholarships Training & education"
297,Great Shepherd Assembly of God,Registered,S99SS0053A,Not Applicable,Religious,Christianity,Training & education
298,Guan Shan Temple,Registered,S93SS0013F,Not Applicable,Religious,Taoism,
299,GUI CI MAITREYA ASSOCIATION,Registered,S91SS0017B,Not Applicable,Religious,Buddhism,Direct Services
300,Hai Yin Buddhist Sangha Society,Registered,S99SS0140K,Not Applicable,Religious,Buddhism,
301,HAKKA METHODIST CHURCH,Registered,S87CC0485H,Not Applicable,Religious,Christianity,Supports other Charities
302,HANDBALL FEDERATION(SINGAPORE),Registered,T08SS0100F,Not Applicable,Sports,NSAs,"Public awareness, promotion & advisory"
303,"Harvest Force Society, The",Registered,S96SS0149C,Not Applicable,Religious,Christianity,Supports other Charities Training & education
304,HARVESTER BAPTIST CHURCH LTD.,Registered,197700527M,Not Applicable,Religious,Christianity,Direct Services Training & education
305,HEAN THUAN TOH TONG,Registered,S80SS0043C,Not Applicable,Religious,Taoism,Direct Services
306,HEARTFULNESS LIMITED,Registered,201313718D,Not Applicable,Others,General Charitable Purposes,Training & education
307,Helping and Empowering our Neighbours (HEN),Registered,T18SS0191F,Not Applicable,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Direct Services Financial assistance, bursaries & scholarships Training & education"
308,HELPING JOY LTD.,Registered,201622272N,Not Applicable,Social and Welfare,"Community,Disability (Adult),Eldercare,Family,Support Groups","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
309,Henderson-Dawson CCC Community Development and Welfare Fund,Registered with IPC,T02CC1588K,From 01/4/2023 to 31/3/2026,Community,Central,"Financial assistance, bursaries & scholarships"
310,HEPHZIBAH CHRISTIAN FELLOWSHIP,Registered,S86SS0091L,Not Applicable,Religious,Christianity,Training & education
311,HIAP TIEN KENG LENG POH TIAN,Registered,S91SS0002F,Not Applicable,Religious,Taoism,Direct Services
312,Himalayan Palyul Dharma Centre,Registered,S99SS0129H,Not Applicable,Religious,Buddhism,Direct Services
313,Himpunan Belia Islam (Muslim Youth Assembly),Registered,S73SS0004B,Not Applicable,Religious,Islam,Training & education
314,Hin Ann Thain Hiaw Keng,Registered,S81SS0017K,Not Applicable,Religious,Taoism,
315,Hindu Centre,Registered,S78SS0017J,Not Applicable,Religious,Hinduism,
316,HIRA SOCIETY,Registered,T13SS0039E,Not Applicable,Social and Welfare,Support Groups,"Financial assistance, bursaries & scholarships Training & education"
317,His Mission,Registered,T05SS0032G,Not Applicable,Religious,Christianity,Direct Services Supports other Charities
318,His Sanctuary,Registered,S89SS0028G,Not Applicable,Religious,Christianity,Supports other Charities Training & education
319,History Maker International Church,Registered,T07SS0165L,Not Applicable,Religious,Christianity,
320,Ho Peck San Temple,Registered,T03SS0164F,Not Applicable,Religious,Taoism,
321,Hock Chuan Monastery,Registered,S95SS0149J,Not Applicable,Religious,Buddhism,Direct Services
322,Hock Huat Keng Temple,Registered,S94SS0157F,Not Applicable,Religious,Taoism,
323,HONG KAH NORTH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S91CC0782K,From 01/4/2021 to 31/3/2024,Community,South West,"Direct Services Financial assistance, bursaries & scholarships"
324,Hong San Chin Huat Temple Association,Registered,S82SS0014E,Not Applicable,Religious,Taoism,Direct Services
325,Hoo Leong Keong Temple,Registered,S87SS0005K,Not Applicable,Religious,Taoism,
326,Hoon Hong Tian Haw Boo (Yun Feng Tian Hou Miao),Registered,S87SS0113C,Not Applicable,Religious,Taoism,Direct Services
327,HOON LENG YIE (TEMPLE) LTD,Registered,198403069R,Not Applicable,Religious,Taoism,Direct Services
328,"Hoon Sian Keng Temple, The",Registered,S50SS0001D,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory Supports other Charities"
329,Hope Baptist Church,Registered,S90SS0053L,Not Applicable,Religious,Christianity,
330,HOPE CENTRE (SINGAPORE),Registered with IPC,S97SS0032G,From 23/9/2022 to 22/3/2025,Social and Welfare,"Children/Youth,Community,Eldercare,Family,Support Groups","Direct Services Financial assistance, bursaries & scholarships"
331,HOPE INTERNATIONAL DEVELOPMENT AGENCY (SINGAPORE) LTD.,Registered,201302444Z,Not Applicable,Others,General Charitable Purposes,
332,HOPEHOUSE LTD.,Registered with IPC,201010093H,From 01/11/2021 to 31/1/2024,Social and Welfare,Children/Youth,Direct Services
333,Hosanna Assembly of God Church,Registered,T00SS0128K,Not Applicable,Religious,Christianity,
334,Hougang Assembly of God Church,Registered,S87SS0098K,Not Applicable,Religious,Christianity,Supports other Charities
335,HOUGANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T04CC1802K,From 01/1/2021 to 31/12/2023,Community,North East,"Financial assistance, bursaries & scholarships"
336,HOUGANG CONSTITUENCY EDUCATION TRUST,Registered,S93CC0976C,Not Applicable,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships"
337,House of the Lord Church,Registered,S98SS0094A,Not Applicable,Religious,Christianity,Direct Services
338,Hua Teck Siang Tng,Registered,S93SS0001J,Not Applicable,Religious,Buddhism,Direct Services
339,HUAXIA CULTURAL HUB LTD.,Registered,201831810M,Not Applicable,Arts and Heritage,Historical & Cultural Conservation,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
340,HUMAN GENOME ORGANISATION (HUGO) INTERNATIONAL LTD.,Deregistered,200802484D,Not Applicable,Others,Think Tanks,Training & education
341,Huria Kristen Batak Protestant (Batak Christian Protestant) Singapore,Registered,S61SS0070G,Not Applicable,Religious,Christianity,
342,Hwa Chong International School Education Fund,Registered,T10CC0001A,Not Applicable,Education,Local Educational Institutions/Funds,"Financial assistance, bursaries & scholarships"
343,Hwa Yen Buddhist Society,Registered,S99SS0114A,Not Applicable,Religious,Buddhism,Supports other Charities
344,I Love Children,Registered with IPC,T05SS0233G,From 22/8/2022 to 21/11/2023,Social and Welfare,"Children/Youth,Family","Public awareness, promotion & advisory"
345,I THEATRE LTD.,Deregistered,200802928D,Not Applicable,Arts and Heritage,Theatre & Dramatic Arts,Supports other Charities
346,IC@RE HUB LTD.,Registered with IPC,201307803W,From 01/10/2021 to 30/6/2024,Social and Welfare,Community,Direct Services
347,IC2 PREPHOUSE LIMITED,Registered with IPC,201136583G,From 01/9/2022 to 30/6/2025,Social and Welfare,Disability (Children),Direct Services
348,IIX GLOBAL CHARITABLE LIMITED,Registered,201006538Z,Not Applicable,Others,General Charitable Purposes,"Direct Services Public awareness, promotion & advisory Training & education Research"
349,IMAGE MISSION LTD.,Registered with IPC,201506898W,From 01/1/2022 to 30/9/2024,Social and Welfare,Community,Direct Services
350,In Him Church,Registered,T02SS0043D,Not Applicable,Religious,Christianity,
351,International Christian Choral Conductor Society,Registered,T02SS0216C,Not Applicable,Religious,Christianity,
352,INTERNATIONAL CHURCH OF THE FOURSQUARE GOSPEL (SINGAPORE) LTD.,Registered,198304234E,Not Applicable,Religious,Christianity,
353,INTERNATIONAL LUTHERAN SEAFARERS' MISSION,Registered,T00CC1413E,Not Applicable,Religious,Christianity,Direct Services
354,INTERNATIONAL RICE RESEARCH INSTITUTE FUND LTD.,Registered,200822937C,Not Applicable,Others,Think Tanks,Research
355,Inter-Religious Organisation (Singapore),Registered with IPC,S64SS0007C,From 20/6/2022 to 19/12/2023,Others,General Charitable Purposes,"Public awareness, promotion & advisory"
356,Interserve Singapore,Registered,S89SS0004B,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities Training & education"
357,ISCA CARES LIMITED,Registered with IPC,201532966C,From 24/9/2021 to 23/9/2024,Social and Welfare,"Children/Youth,Community","Financial assistance, bursaries & scholarships"
358,ISETAN FOUNDATION,Registered,198101792R,Not Applicable,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships Supports other Charities"
359,IYAD PERDAUS LTD.,Registered,202114475W,Not Applicable,Others,Children/Youth,"Financial assistance, bursaries & scholarships Public awareness, promotion & advisory Direct Services Supports other Charities Training & education"
360,J217 LIMITED,Registered,201533182D,Not Applicable,Social and Welfare,"Children/Youth,Eldercare,Family","Direct Services Financial assistance, bursaries & scholarships"
361,JALAN BESAR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Deregistered,S96CC1145D,Not Applicable,Community,Central,"Financial assistance, bursaries & scholarships"
362,JALAN KAYU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S87CC0436A,From 01/4/2023 to 31/3/2026,Community,Central,Supports other Charities
363,Jane Goodall Institute (Singapore),Registered,T07SS0157J,Not Applicable,Others,"Animal Welfare,Environment","Direct Services Public awareness, promotion & advisory Training & education Research"
364,"JAPANESE SUPPLEMENTARY SCHOOL, SINGAPORE, THE",Registered,T00CC1414A,Not Applicable,Education,Foreign Educational Institutions/Funds,Training & education
365,JCCI SINGAPORE FOUNDATION LIMITED,Registered with IPC,199002444H,From 01/9/2021 to 31/8/2024,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships"
366,Jen Chen Buddhist Blissful Culture Centre,Registered,S93SS0098D,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory"
367,JESUIT REFUGEE SERVICE (SINGAPORE) LTD.,Registered,201713923E,Not Applicable,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Training & education"
368,Jesus' Disciples Baptist Community Church,Registered,S87SS0079G,Not Applicable,Religious,Christianity,
369,Jesus Reigns Church,Registered,S97SS0141G,Not Applicable,Religious,Christianity,
370,JESUS SAVES MISSION LIMITED,Registered,197100576D,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships"
371,JI ZHENG GONG,Registered,T03SS0115K,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory"
372,Jia Ying Community Services Society,Registered with IPC,T01SS0100D,From 01/4/2021 to 31/12/2023,Health,Other Community-based Services,Direct Services
373,JLU GLOBAL LTD.,Registered,200817745G,Not Applicable,Religious,Christianity,
374,JOHN MEAD DANCE COMPANY LTD.,Registered,200701899H,Not Applicable,Arts and Heritage,"Professional, Contemporary & Ethnic Dance","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
375,JOO CHIAT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2008J,From 01/4/2021 to 31/3/2024,Community,South East,"Financial assistance, bursaries & scholarships"
376,Joo Chiat Gospel Hall,Registered,T00SS0215H,Not Applicable,Religious,Christianity,
377,JURONG CENTRAL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S97CC1260H,From 01/4/2021 to 31/3/2024,Community,South West,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
378,JURONG SPRING CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T11CC0005A,From 01/1/2022 to 31/12/2024,Community,South West,"Financial assistance, bursaries & scholarships"
379,JURONG TAMIL METHODIST CHURCH,Registered,S88CC0581J,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships"
380,Just Parenting Association,Deregistered,T04SS0013K,Not Applicable,Social and Welfare,"Children/Youth,Family,Support Groups",Direct Services
381,Kai Hock Tong Temple,Registered,S87SS0078L,Not Applicable,Religious,Taoism,
382,KAKI BUKIT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S92CC0869A,From 01/7/2021 to 30/6/2024,Community,North East,"Financial assistance, bursaries & scholarships"
383,KAMPONG CHAI CHEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S92CC0881K,From 01/4/2023 to 31/3/2026,Community,South East,Direct Services
384,Kang Ming Free Clinic,Registered,T01SS0013F,Not Applicable,Health,TCM Clinic,Direct Services Supports other Charities Training & education
385,KEAT HONG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T03CC1651H,From 01/4/2021 to 31/3/2024,Community,South West,"Financial assistance, bursaries & scholarships"
386,Keat Sun Beo,Registered,S94SS0028G,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships Supports other Charities"
387,KEBUN BARU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S86CC0397J,From 01/1/2022 to 31/12/2024,Community,North West,"Direct Services Financial assistance, bursaries & scholarships"
388,KEMBANGAN-CHAI CHEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S98CC1346C,From 01/7/2021 to 30/6/2024,Community,South East,"Financial assistance, bursaries & scholarships"
389,Kew Ong Yah Temple (Upper Serangoon),Registered,S21CC0001E,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory Supports other Charities"
390,Khalsa Dharmak Sabha,Registered,S24SS0001D,Not Applicable,Religious,Others,Supports other Charities
391,Khoon Chee Vihara,Registered,S99SS0092C,Not Applicable,Religious,Buddhism,
392,Khush Khabri Fellowship,Registered,S92SS0004C,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships"
393,KIEW LEE TONG TEMPLE,Registered,S87SS0067K,Not Applicable,Religious,Taoism,Direct Services
394,"Kim Chuan Whuap Tuah Temple, The",Registered,S69SS0014A,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory"
395,Kingdom of Jesus Christ Society,Registered,T01SS0001J,Not Applicable,Religious,Christianity,Supports other Charities
396,KOH ENG HIOK EDUCATIONAL FUNDS LTD.,Deregistered,201129376H,Not Applicable,Education,Foundations & Trusts,
397,KOLAM AYER CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered,T07CC2009E,Not Applicable,Community,Central,"Financial assistance, bursaries & scholarships"
398,Kong Beng Tong Temple Association,Registered,S84SS0011E,Not Applicable,Religious,Taoism,"Supports other Charities Public awareness, promotion & advisory"
399,Kuah Na Keng Temple Association,Registered,S86SS0046K,Not Applicable,Religious,Taoism,
400,KUO PAO KUN FOUNDATION LIMITED,Registered,200722797E,Not Applicable,Arts and Heritage,Others,Supports other Charities
401,Kwan Siang Tng,Registered,S84SS0002G,Not Applicable,Religious,Buddhism,Supports other Charities
402,KWAN-IN WELFARE SOCIETY,Registered,S75SS0041L,Not Applicable,Religious,Buddhism,"Financial assistance, bursaries & scholarships"
403,LA SALLE CENTRE (LIMITED),Registered,200708204G,Not Applicable,Education,Local Educational Institutions/Funds,Direct Services Training & education
404,Lam Hai Poh Toh San,Registered,S85SS0012F,Not Applicable,Religious,Buddhism,
405,Lawn Bowls Association for the Disabled (Singapore),Registered with IPC,T04SS0110B,From 16/12/2020 to 15/12/2023,Sports,"Disability Sports,Non-NSAs","Public awareness, promotion & advisory Training & education"
406,LEAP FOUNDATION LTD.,Registered,200906548Z,Not Applicable,Others,General Charitable Purposes,
407,Lejia Society,Registered,T06SS0031E,Not Applicable,Social and Welfare,Support Groups,"Public awareness, promotion & advisory"
408,Leng Foong Prajna Temple,Registered,T00SS0004C,Not Applicable,Religious,Buddhism,
409,Leng Hok San Hian Leng Temple Tian Se Tao Chiao,Registered,S85SS0027B,Not Applicable,Religious,Taoism,
410,LIAN CHEE KEK BUDDHIST TEMPLE,Registered,T06CC1969B,Not Applicable,Religious,Buddhism,
411,Lian Huay Temple,Registered,S85SS0078A,Not Applicable,Religious,Taoism,
412,LIFE EDU SERVICES LTD.,Registered,201418437Z,Not Applicable,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
413,Life Spring Community Network,Deregistered,S99SS0017J,Not Applicable,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
414,LIFE! COMMUNITY DEVELOPMENT LTD.,Registered,200415547M,Not Applicable,Social and Welfare,Community,"Public awareness, promotion & advisory Training & education"
