S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
855,Tse Tho Aum Temple,Registered,S92SS0024B,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory"
856,TTSH COMMUNITY FUND,Registered with IPC,201400920N,From 20/7/2021 to 19/7/2024,Health,,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
857,Tuas Pek Kong Keng Management Council,Registered,S83SS0028K,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education"
858,TUNG LING BIBLE SCHOOL LTD.,Registered,198403071C,Not Applicable,Religious,Christianity,Training & education
859,UNLV SINGAPORE LIMITED,Registered,200510909D,Not Applicable,Education,Foreign Educational Institutions/Funds,Training & education
860,VENTURE MUSIC ASIA LTD.,Registered,201733785K,Not Applicable,Arts and Heritage,"Historical & Cultural Conservation,Music & Orchestras,Training & Education","Public awareness, promotion & advisory Training & education"
861,VERBUM DEI LIMITED,Registered,201413066G,Not Applicable,Religious,Christianity,Direct Services Training & education
862,VIMALAKIRTI BUDDHIST CENTRE,Registered,S63SS0041J,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
863,Viriya Community Services,Registered with IPC,T01SS0059B,From 01/10/2020 to 30/9/2023,Social and Welfare,"Community,Family","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
864,Vision 2030 Fund,Registered with IPC,T14CC0007H,From 09/9/2021 to 08/9/2025,Sports,Others,"Public awareness, promotion & advisory"
865,VIVA FOUNDATION FOR CHILDREN WITH CANCER,Registered with IPC,200601578E,From 15/5/2021 to 14/5/2024,Health,,Training & education Research
866,Volleyball Association of Singapore,Registered with IPC,S61SS0181K,From 20/2/2021 to 19/2/2024,Sports,NSAs,
867,WAT ANANDA METYARAMA,Registered,S99CC1374J,Not Applicable,Religious,Buddhism,"Financial assistance, bursaries & scholarships"
868,WE CARE COMMUNITY SERVICES LIMITED,Registered with IPC,200506089N,From 01/7/2021 to 30/6/2024,Social and Welfare,"Community,Family,Support Groups","Public awareness, promotion & advisory Training & education"
869,WEE FOUNDATION,Registered,200819361D,Not Applicable,Others,General Charitable Purposes,
870,WESLEY VINEYARD CHILDCARE LTD.,Deregistered,201437276K,Not Applicable,Social and Welfare,Children/Youth,Training & education
871,WEST COAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S99CC1352G,From 01/4/2023 to 31/3/2026,Community,South West,"Financial assistance, bursaries & scholarships Supports other Charities"
872,WHAMPOA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S92CC0879F,From 01/1/2022 to 31/12/2024,Community,Central,"Financial assistance, bursaries & scholarships"
873,Whispering Hearts Family Service Centre,Deregistered,T03SS0057J,Not Applicable,Social and Welfare,Family,
874,WICARE SUPPORT GROUP,Registered with IPC,S98SS0084G,From 29/4/2022 to 28/4/2024,Social and Welfare,Support Groups,Direct Services
875,WILD RICE LTD,Registered with IPC,200100891D,From 01/6/2022 to 30/11/2023,Arts and Heritage,Theatre & Dramatic Arts,Direct Services
876,Willing Hearts,Registered with IPC,T05SS0071J,From 17/6/2022 to 16/6/2023,Social and Welfare,"Children/Youth,Community,Disability (Adult),Eldercare,Family",Direct Services
877,Wing Tai Foundation,Registered,T10CC0007K,Not Applicable,Social and Welfare,Community,
878,WOH HUP TRUST,Registered with IPC,201129946W,From 01/12/2022 to 31/7/2026,Social and Welfare,Community,"Financial assistance, bursaries & scholarships Supports other Charities"
879,Woodlands Evangelical Free Church,Registered,S64SS0047A,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
880,Woodlands Social Centre,Registered with IPC,S99SS0135G,From 01/3/2021 to 31/8/2023,Social and Welfare,"Children/Youth,Family","Direct Services Financial assistance, bursaries & scholarships"
881,WWFS CONSERVATION FUND,Registered with IPC,T06CC1999F,From 01/7/2021 to 30/6/2023,Others,Environment,"Public awareness, promotion & advisory"
882,Xian Gu Tian,Registered,S97SS0021F,Not Applicable,Religious,Taoism,Direct Services
883,XiSer CareServe,Registered,T05SS0221K,Not Applicable,Health,Nursing Home,
884,YANGZHENG FOUNDATION,Registered,S90SS0076J,Not Applicable,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships"
885,YELLOW RIBBON FUND (YRF),Registered with IPC,T04CC1808H,From 01/11/2022 to 30/11/2024,Social and Welfare,Community,"Financial assistance, bursaries & scholarships Training & education"
886,Yi Do An Chinese Temple,Registered,S94SS0150A,Not Applicable,Religious,Taoism,
887,YIO CHU KANG CHAPEL LTD,Registered,198100673K,Not Applicable,Religious,Christianity,Direct Services Supports other Charities
888,YISHUN CHRISTIAN CHURCH (ANGLICAN),Exempt Charity,S87CC0543J,Not Applicable,Religious,Christianity,
889,YISHUN CHRISTIAN CHURCH (LUTHERAN),Registered,S88CC0598H,Not Applicable,Religious,Christianity,Direct Services
890,Yong-en Care Centre,Registered with IPC,S96SS0165G,From 01/1/2022 to 30/6/2024,Social and Welfare,"Community,Eldercare,Family,Support Groups","Direct Services Financial assistance, bursaries & scholarships"
891,Young Men's Christian Association of Singapore,Registered with IPC,S61SS0045E,From 01/7/2021 to 30/6/2024,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education"
892,Youth Guidance Outreach Services,Registered with IPC,S96SS0067H,From 01/2/2023 to 30/6/2024,Social and Welfare,Children/Youth,Direct Services
893,Youth With A Mission Training Centre,Registered,S96SS0040D,Not Applicable,Religious,Christianity,Training & education
894,YUHUA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T06CC1938B,From 01/7/2021 to 30/6/2024,Community,South West,"Financial assistance, bursaries & scholarships Supports other Charities"
895,Zhen Ren Gong Temple,Registered,S98SS0123E,Not Applicable,Religious,Taoism,
896,ZION BISHAN BIBLE-PRESBYTERIAN CHURCH,Registered,T10SS0029G,Not Applicable,Religious,Christianity,
897,Zion Presbyterian Church,Registered,S90SS0056K,Not Applicable,Religious,Christianity,
898,ZION SERANGOON BIBLE-PRESBYTERIAN CHURCH,Registered,S86SS0063K,Not Applicable,Religious,Christianity,Supports other Charities Training & education
899,Zu-Lin Temple Association,Registered,S89SS0037E,Not Applicable,Religious,Buddhism,"Financial assistance, bursaries & scholarships"
