S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
482,Queenstown Multi-Service Centre,Registered with IPC,T03SS0013E,From 18/2/2023 to 17/2/2026,Health,,Direct Services
483,"Radha Soami Satsang Beas, Singapore",Registered,S80SS0021A,Not Applicable,Religious,Others,
484,RADIN MAS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S86CC0339D,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
485,"Ramakrishna Mission, The",Registered,S62SS0028K,Not Applicable,Religious,Hinduism,Direct Services
486,Rare Disorders Society (Singapore),Registered with IPC,T11SS0113L,From 08/12/2022 to 07/12/2023,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
487,RAW MOVES LTD.,Registered with IPC,201101201D,From 07/10/2022 to 06/10/2024,Arts and Heritage,"Professional, Contemporary & Ethnic Dance","Public awareness, promotion & advisory Supports other Charities Training & education"
488,Realm of Tranquility,Registered with IPC,S81SS0064C,From 24/4/2023 to 23/2/2025,Social and Welfare,Community,Direct Services
489,REDHILL MORAL SENIOR ACTIVITY CENTRE,Registered,S96CC1169J,Not Applicable,Health,,
490,Reformed Bible Presbyterian Church,Registered,T07SS0238H,Not Applicable,Religious,Christianity,Direct Services
491,RESILIENCE COLLECTIVE LTD.,Registered with IPC,201822261W,From 21/10/2022 to 20/10/2025,Health,Others; Mental Health,"Training & education Public awareness, promotion & advisory"
492,RESOUND COLLECTIVE LIMITED,Registered with IPC,201631412H,From 16/2/2022 to 15/8/2023,Arts and Heritage,"Music & Orchestras,Training & Education","Public awareness, promotion & advisory Training & education"
493,Restroom Association (Singapore),Registered with IPC,S98SS0167J,From 01/11/2021 to 31/10/2024,Others,Environment,"Public awareness, promotion & advisory Training & education"
494,Revival Centre Church,Registered,S62SS0063F,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
495,Revival Faith Assembly,Registered,S84SS0046L,Not Applicable,Religious,Christianity,
496,REVIVAL FELLOWSHIP (SINGAPORE),Registered,S89SS0035B,Not Applicable,Religious,Christianity,
497,Rhema Bible Training Center (Singapore),Registered,T03SS0181F,Not Applicable,Religious,Christianity,Training & education
498,RIVER COMMUNITY CHURCH,Registered,S99SS0155F,Not Applicable,Religious,Christianity,
499,River of Life Community Church,Registered,T02SS0206J,Not Applicable,Religious,Christianity,
500,RIVERLIFE COMMUNITY SERVICES LIMITED,Registered with IPC,200711586W,From 01/3/2023 to 31/1/2024,Social and Welfare,Community,Direct Services Training & education
501,Rivers of Life Church,Registered,S96SS0177D,Not Applicable,Religious,Christianity,Direct Services Training & education
502,RIVERS OF LIFE MINISTRIES LTD.,Registered,198104338R,Not Applicable,Religious,Christianity,
503,ROSE MARIE KHOO FOUNDATION,Registered,200914844E,Not Applicable,Social and Welfare,Community,Grantmaking
504,S M JALEEL FOUNDATION LTD.,Registered with IPC,201009329W,From 23/12/2022 to 22/12/2023,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships Training & education"
505,SAF CARE FUND,Registered with IPC,201323131D,From 01/4/2023 to 31/1/2026,Social and Welfare,Disability (Adult),"Financial assistance, bursaries & scholarships"
506,SALEM WELFARE SERVICES LTD,Registered with IPC,199508102H,From 08/11/2020 to 07/11/2023,Health,,Direct Services
507,SALIM TALIB CHARITY SETTLEMENT,Deregistered,S85CC0214G,Not Applicable,Religious,Islam,
508,SALT & LIGHT FOUNDATION,Registered,S00CC0008K,Not Applicable,Religious,Christianity,"Direct Services Grantmaking Financial assistance, bursaries & scholarships Supports other Charities"
509,Sam Ann Temple Association,Registered,S84SS0028D,Not Applicable,Religious,Taoism,
510,SAN JIAO SHENG TANG BUDDHIST ASSOCIATION,Registered,S84SS0020C,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory"
