S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
511,SANCTUARY HOUSE LTD.,Deregistered,200509328Z,Not Applicable,Social and Welfare,Children/Youth,
512,SASCO SENIOR CITIZENS' HOME,Registered with IPC,S89CC0702G,From 07/7/2022 to 06/4/2024,Social and Welfare,"Community,Eldercare,Support Groups",Direct Services
513,SATHECOLLECTIVE LTD.,Registered with IPC,201629632R,From 03/11/2021 to 02/11/2023,Arts and Heritage,Traditional Ethnic Performing Arts,Training & education Research
514,Sattha Puchaniyaram Buddhist Temple,Registered,S65SS0029K,Not Applicable,Religious,Buddhism,"Financial assistance, bursaries & scholarships"
515,SCWO-Service Fund,Deregistered,T09CC0010H,From 01/11/2019 to 30/4/2022,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Training & education Research"
516,SEED MINISTRIES LIMITED,Registered,200312988Z,Not Applicable,Religious,Christianity,Supports other Charities Training & education
517,Sembawang Assembly of God,Registered,T03SS0178F,Not Applicable,Religious,Christianity,Direct Services
518,Sembawang Baptist Church,Registered,S64SS0018D,Not Applicable,Religious,Christianity,
519,SEMBAWANG CENTRAL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T16CC0001J,From 01/4/2021 to 31/3/2024,Community,North West,"Financial assistance, bursaries & scholarships"
520,SENGKANG EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2010B,From 01/6/2020 to 30/6/2023,Community,North East,"Financial assistance, bursaries & scholarships"
521,SENGKANG WEST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T06CC1994D,From 01/10/2021 to 30/9/2024,Community,Central,"Financial assistance, bursaries & scholarships"
522,Serangoon CCC Community Development and Welfare Fund,Registered with IPC,T10CC0009B,From 01/7/2020 to 30/6/2023,Community,North East,"Financial assistance, bursaries & scholarships Supports other Charities"
523,SERENE GARDEN,Deregistered,S88CC0576F,Not Applicable,Religious,Christianity,
524,SETTLEMENT OF S.S.ABDAT DEC'D,Registered,S85CC0203F,Not Applicable,Others,General Charitable Purposes,
525,Seventy Times Seven,Registered with IPC,T09CC0007H,From 01/10/2020 to 30/9/2023,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
526,Shalom Baptist Chapel,Registered,S77SS0047H,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory"
527,Shalom Baptist Church,Registered,S85SS0053L,Not Applicable,Religious,Christianity,
528,Shan Fook Tong Temple,Registered,S97SS0134A,Not Applicable,Religious,Buddhism,
529,Shekinah Assembly Of God Church,Registered,S90SS0015E,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships"
530,Shelter Baptist Church,Registered,S87SS0035C,Not Applicable,Religious,Christianity,
531,SHENG HONG ARTS INSTITUTE,Registered,T09SS0065H,Not Applicable,Arts and Heritage,"Literary Arts,Music & Orchestras,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education","Direct Services Public awareness, promotion & advisory Training & education"
532,Sheng Jia Temple Association,Registered,T02SS0109F,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory Supports other Charities"
533,SHENG-TU EVANGELISTIC MISSION (SINGAPORE),Registered,S56SS0024K,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Training & education"
534,SHENTON CHARITABLE COMPANY LIMITED,Registered,200209965N,Not Applicable,Social and Welfare,Community,Supports other Charities
535,Shi Niu Dong Temple,Registered,T03SS0018G,Not Applicable,Religious,Taoism,
536,SHIRDI SAI WORSHIP CENTRE LTD.,Registered,200820782H,Not Applicable,Religious,Hinduism,Grantmaking Training & education
537,SHRIMAD RAJCHANDRA MISSION DHARAMPUR (SINGAPORE) LTD.,Registered,201721347M,Not Applicable,Religious,Others,Direct Services Supports other Charities
538,SIAN TECK TNG VEGETARIAN CONVENT,Registered,S91CC0783F,Not Applicable,Religious,Buddhism,
539,SIANG CHO KEONG TEMPLE,Registered,S89CC0623L,Not Applicable,Religious,Buddhism,
540,SIKH WELFARE COUNCIL,Registered with IPC,S98SS0018L,From 01/2/2022 to 31/1/2025,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships"
541,Silver Ribbon (Singapore),Registered with IPC,T05SS0315B,From 12/5/2021 to 11/5/2024,Health,Others,"Direct Services Public awareness, promotion & advisory Training & education"
542,SING LIT STATION LIMITED,Registered with IPC,201615577D,From 15/12/2021 to 14/12/2023,Arts and Heritage,Literary Arts,"Direct Services Public awareness, promotion & advisory Training & education"
543,Sing Man Temple (Singapore),Registered,T08SS0124L,Not Applicable,Religious,Buddhism,Direct Services
544,"Singapore American Community Action Council, The",Registered,S73SS0043D,Not Applicable,Others,General Charitable Purposes,Direct Services
545,"SINGAPORE ASSOCIATION FOR CONTINUING EDUCATION, THE",Registered,S79SS0040B,Not Applicable,Health,Active Ageing,Training & education
546,Singapore Bible Baptist Church,Registered,S71SS0017G,Not Applicable,Religious,Christianity,Direct Services
547,SINGAPORE BIBLE COLLEGE,Registered,S91CC0796K,Not Applicable,Religious,Christianity,Training & education
548,Singapore Boxing Federation,Registered,S62SS0024D,Not Applicable,Sports,NSAs,
549,"Singapore Cardiac Society, The",Registered,S73SS0041A,Not Applicable,Health,,Training & education
550,Singapore Centre for Global Missions,Registered,S80SS0007L,Not Applicable,Religious,Christianity,Training & education
551,Singapore Che Wein Khor Moral Uplifting Society,Registered,S80SS0009C,Not Applicable,Religious,Buddhism,
552,Singapore Chee Hoon Kog Moral Promotion Society,Registered,S82SS0013J,Not Applicable,Religious,Others,"Direct Services Financial assistance, bursaries & scholarships"
553,SINGAPORE CLAN FOUNDATION,Registered with IPC,198601162H,From 04/12/2022 to 03/6/2024,Arts and Heritage,"Historical & Cultural Conservation,Training & Education","Public awareness, promotion & advisory Training & education"
554,"SINGAPORE CONTRACT BRIDGE ASSOCIATION, THE",Registered with IPC,S62SS0079J,From 29/1/2021 to 28/1/2024,Sports,NSAs,Direct Services Training & education
555,SINGAPORE CYCLING FEDERATION,Registered with IPC,S58SS0009A,From 01/12/2022 to 30/11/2025,Sports,NSAs,"Direct Services Public awareness, promotion & advisory Training & education"
556,SINGAPORE DRAMA EDUCATORS ASSOCIATION,Registered,T02SS0123G,Not Applicable,Arts and Heritage,"Others,Theatre & Dramatic Arts,Training & Education","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
557,Singapore Eye Foundation,Registered,S83SS0015F,Not Applicable,Health,Diseases/Illnessess Support Group,Direct Services Research Training & education
558,Singapore Floorball Association,Registered with IPC,S96SS0027K,From 01/1/2021 to 31/12/2023,Sports,NSAs,"Public awareness, promotion & advisory Training & education"
559,SINGAPORE GOSPEL HALLS (HOKKIEN SPEAKING ASSEMBLY) LTD.,Registered,198702670M,Not Applicable,Religious,Christianity,
560,SINGAPORE HOSPICE COUNCIL,Registered with IPC,S95SS0013E,From 01/10/2021 to 30/9/2024,Health,"Hospice,Others","Public awareness, promotion & advisory Supports other Charities Training & education Research"
561,SINGAPORE ICE HOCKEY ASSOCIATION,Registered,T02SS0138C,From 14/9/2020 to 30/9/2021,Sports,NSAs,Direct Services
562,SINGAPORE INSTITUTE OF INTERNATIONAL AFFAIRS,Registered,S62SS0073L,Not Applicable,Others,Think Tanks,"Public awareness, promotion & advisory Research"
563,SINGAPORE INSTITUTE OF INTERNATIONAL AFFAIRS ENDOWMENT FUND,Registered with IPC,T03CC1685G,From 01/9/2022 to 31/8/2025,Others,Think Tanks,"Public awareness, promotion & advisory Research"
564,Singapore Institute of Management Society,Deregistered,S64SS0050A,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
565,"Singapore Japanese Christian Fellowship, The",Registered,S81SS0006J,Not Applicable,Religious,Christianity,Direct Services
566,SINGAPORE JEWISH CHARITIES TRUST FUND,Registered,S86CC0396B,Not Applicable,Religious,Others,"Financial assistance, bursaries & scholarships"
567,SINGAPORE JUDO FEDERATION,Registered with IPC,S65SS0037A,From 01/5/2021 to 30/4/2024,Sports,NSAs,"Public awareness, promotion & advisory Training & education"
568,Singapore Leprosy Relief Association,Registered,S61SS0121B,From 01/6/2022 to 30/11/2022,Health,Others,Direct Services
569,"Singapore Life Saving Society, The",Registered,S67SS0031B,From 16/9/2021 to 15/9/2022,Sports,NSAs,"Public awareness, promotion & advisory"
570,"SINGAPORE LSE TRUST, THE",Registered with IPC,T03CC1733C,From 01/4/2023 to 31/3/2026,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships"
571,SINGAPORE NATIONAL PARALYMPIC COUNCIL LTD.,Registered with IPC,200812207D,From 23/7/2021 to 22/7/2024,Sports,Disability Sports,"Direct Services Training & education Public awareness, promotion & advisory"
572,Singapore National Stroke Association,Registered with IPC,S96SS0196G,From 20/11/2021 to 19/11/2024,Health,Diseases/Illnessess Support Group,"Public awareness, promotion & advisory Training & education"
573,Singapore Nurses' Christian Fellowship,Registered,S60SS0018F,Not Applicable,Religious,Christianity,
574,Singapore Planned Families Association,Registered,S63SS0018K,Not Applicable,Social and Welfare,"Community,Disability (Children),Eldercare,Family","Public awareness, promotion & advisory Training & education"
575,Singapore Rollersports Federation,Registered,S99SS0058C,Not Applicable,Sports,NSAs,"Direct Services Public awareness, promotion & advisory"
576,SINGAPORE SEPAKTAKRAW FEDERATION (PERSES),Registered with IPC,S60SS0012H,From 25/3/2022 to 24/3/2025,Sports,NSAs,Training & education
577,SINGAPORE SIKH EDUCATION FOUNDATION,Registered,S90SS0119B,Not Applicable,Education,Foundations & Trusts,Training & education
578,Singapore Sinhala Buddhist Association,Registered,S62SS0025L,Not Applicable,Religious,Buddhism,
579,Singapore Sport Climbing and Mountaineering Federation,Registered,S93SS0038G,Not Applicable,Sports,NSAs,Direct Services Training & education Research
580,SINGAPORE SQUASH RACKETS ASSOCIATION,Registered with IPC,S70SS0024H,From 12/4/2022 to 19/3/2025,Sports,NSAs,"Public awareness, promotion & advisory Training & education"
581,Singapore Tao Yuan also named The World Red Swastika Society (Singapore Administration Centre),Registered,S62SS0005A,Not Applicable,Religious,Others,"Financial assistance, bursaries & scholarships Supports other Charities"
582,"Singapore Thomson Road Baptist Church, The",Registered,S68SS0003F,Not Applicable,Religious,Christianity,Direct Services
583,Singapore Urological Association,Registered,S86SS0015K,Not Applicable,Health,,"Public awareness, promotion & advisory Training & education"
584,Singapore Women's Association (Persatuan Wanita Singapura),Registered with IPC,S54SS0010L,From 03/1/2022 to 02/1/2025,Social and Welfare,Community,"Public awareness, promotion & advisory Supports other Charities Training & education"
585,SINGAPORE-CHINA PREMIER SCHOLARSHIP FUND,Registered,T05CC1856B,Not Applicable,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships"
586,SING'THEATRE LTD.,Registered with IPC,200615018Z,From 01/9/2022 to 28/2/2025,Arts and Heritage,Theatre & Dramatic Arts,
587,Sion Christian After-Care Services Centre,Registered,T01SS0147G,Not Applicable,Social and Welfare,Support Groups,Direct Services
588,Sion Christian Church,Registered,S84SS0048C,Not Applicable,Religious,Christianity,Direct Services
589,SkillsFuture Jubilee Fund,Registered,T15CC0002L,,Others,General Charitable Purposes,Training & education
590,SMA CHARITY FUND,Registered with IPC,201305017E,From 27/12/2022 to 26/12/2025,Health,Others,"Financial assistance, bursaries & scholarships"
591,Smyrna Assembly,Registered,S87SS0049C,Not Applicable,Religious,Christianity,Direct Services
592,SOCIAL CREATIVES LTD.,Deregistered,200813216C,Not Applicable,Arts and Heritage,"Historical & Cultural Conservation,Others,Visual Arts","Direct Services Public awareness, promotion & advisory Supports other Charities"
593,Society for Eastern Culture Studies,Registered,T02SS0042H,Not Applicable,Arts and Heritage,Training & Education,Training & education
594,Society of Love and Compassion,Registered,S99SS0004E,Not Applicable,Religious,Taoism,
595,SOON HONG KEE SCHOLARSHIP TRUST FUND,Registered,S85CC0257D,Not Applicable,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships Training & education"
596,Soon Say Keng & Reservoir Tua Pek Kong Temple,Registered,S87SS0008J,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory"
597,SOSD,Registered with IPC,T12SS0058C,From 25/7/2022 to 24/7/2024,Others,Animal Welfare,
598,SOWCARE LTD.,Registered,201918865M,Not Applicable,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education"
599,SPACES COUNSELING AND COMMUNITY LIMITED,Registered,200402955N,Not Applicable,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory"
600,"SPECIAL OLYMPICS ASIA PACIFIC, LTD.",Registered,200906631E,Not Applicable,Sports,Non-NSAs,"Research Supports other Charities Training & education Public awareness, promotion & advisory"
601,SPIRIT OF ENTERPRISE,Registered with IPC,200301515E,From 07/1/2023 to 06/1/2025,Others,Children/Youth,"Financial assistance, bursaries & scholarships Training & education"
602,Sports Boules Singapore,Registered,S90SS0085G,,Sports,NSAs,Direct Services Training & education
603,Sri Krishna Mandir Welfare Society,Registered,T02SS0007A,Not Applicable,Social and Welfare,"Children/Youth,Community,Disability (Adult),Eldercare,Family","Direct Services Public awareness, promotion & advisory Training & education"
604,Sri Siva Krishna Temple,Registered,S70SS0003B,Not Applicable,Religious,Hinduism,Direct Services
605,SRI VADAPATHIRA KALIAMMAN TEMPLE,Registered,S95CC1074E,Not Applicable,Religious,Hinduism,Direct Services
606,SRI VEERAMAKALIAMMAN TEMPLE,Registered,S88CC0586L,Not Applicable,Religious,Hinduism,Direct Services
607,ST ANDREW'S CATHEDRAL HOME,Registered with IPC,S85CC0155K,From 01/12/2021 to 31/8/2023,Social and Welfare,Eldercare,Direct Services
608,ST GABRIEL'S FOUNDATION,Registered with IPC,200105928G,From 10/8/2022 to 09/8/2025,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships Training & education"
609,ST. JOSEPH'S INSTITUTION PHILANTHROPIC FUND FOR THE LASALLIAN MISSION LTD.,Registered with IPC,201024306N,From 07/1/2020 to 06/1/2025,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships Training & education"
610,"St. Thomas Orthodox Syrian Cathedral, Singapore",Registered,S79SS0001L,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships"
611,STRATEGIC STUDIES FUND,Registered,T04CC1798G,From 01/8/2021 to 30/4/2022,Others,Think Tanks,Research
612,STROKE SUPPORT STATION,Registered with IPC,201503222G,From 15/6/2021 to 14/6/2024,Health,Diseases/Illnessess Support Group,"Public awareness, promotion & advisory Training & education"
613,SUPPORT FOR THE ARTS FUND,Exempt Charity with IPC,T08CC3019F,From 01/8/2020 to 31/7/2023,Arts and Heritage,"Literary Arts,Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education,Visual Arts","Public awareness, promotion & advisory"
614,SUSTAINABLE FINANCE INSTITUTE ASIA LIMITED,Registered,202017347M,Not Applicable,Others,General Charitable Purposes,"Public awareness, promotion & advisory Training & education"
615,SWEE KOW KUAN TEMPLE,Registered,S80SS0186B,Not Applicable,Religious,Taoism,Direct Services
616,Sze Hock Keng Tua Peh Kong Association,Registered,S92SS0022K,Not Applicable,Religious,Taoism,
617,T.H.E DANCE COMPANY LTD.,Registered with IPC,200818017E,From 20/2/2022 to 19/2/2024,Arts and Heritage,"Professional, Contemporary & Ethnic Dance","Direct Services Training & education Public awareness, promotion & advisory"
618,Tabernacle Bible Presbyterian Church,Registered,T05SS0089D,Not Applicable,Religious,Christianity,
619,Tai Pei Buddhist Centre,Registered,T01SS0214F,Not Applicable,Religious,Buddhism,Training & education
620,Tai Pei Foundation,Registered,S85SS0100L,Not Applicable,Others,General Charitable Purposes,Training & education
621,Tai Pei Yuen Temple,Registered,S86SS0009L,Not Applicable,Religious,Buddhism,Supports other Charities
622,TAI SENG CHRISTIAN CHURCH (C.N.E.C.) LIMITED,Registered,198404204K,Not Applicable,Religious,Christianity,Supports other Charities
623,TAI YEONG KON TEMPLE,Registered,S87SS0127C,Not Applicable,Religious,Buddhism,
624,TALENTTRUST LIMITED,Registered with IPC,201430501R,From 09/10/2021 to 08/10/2023,Others,General Charitable Purposes,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education"
625,TAMIL METHODIST CHURCH - SHORT STREET,Registered,S87CC0512J,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships"
626,TAMPINES EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S89CC0709A,From 01/7/2021 to 30/6/2024,Community,North East,"Financial assistance, bursaries & scholarships"
627,TAMPINES WEST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S92CC0903H,From 01/7/2021 to 30/6/2024,Community,North East,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education"
628,TAN JOO KEE SCHOLARSHIP FUND,Registered,S91CC0788H,Not Applicable,Education,Foundations & Trusts,
629,TAN KAH KEE FOUNDATION,Registered with IPC,198200465N,From 01/7/2022 to 30/6/2023,Education,"Foundations & Trusts,Local Educational Institutions/Funds","Financial assistance, bursaries & scholarships Training & education"
630,T'ANG QUARTET LIMITED,Registered,200102183D,Not Applicable,Arts and Heritage,Music & Orchestras,Training & education
631,TANG RENAISSANCE,Registered with IPC,201630110G,From 27/2/2023 to 26/2/2025,Arts and Heritage,Traditional Ethnic Performing Arts,"Training & education Public awareness, promotion & advisory"
632,TANGLIN TRUST SCHOOL FOUNDATION LIMITED,Registered,201212078W,Not Applicable,Education,Foundations & Trusts,Grantmaking Training & education
633,TANJONG PAGAR-TIONG BAHRU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S86CC0364F,From 01/1/2022 to 31/12/2024,Community,Central,"Financial assistance, bursaries & scholarships"
634,Tao Bu Keng Temple,Registered,S88SS0048A,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory"
635,Taoist Federation (Singapore),Registered,S90SS0063E,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory Supports other Charities"
636,TASEK JURONG LIMITED,Registered with IPC,201437089G,From 21/12/2021 to 20/12/2023,Social and Welfare,"Community,Support Groups","Grantmaking Financial assistance, bursaries & scholarships Training & education"
637,TAY LECK TECK FOUNDATION,Registered,197600306D,Not Applicable,Social and Welfare,Community,
638,TEATER EKAMATRA LTD.,Registered,201130737W,Not Applicable,Arts and Heritage,Theatre & Dramatic Arts,
639,TECHNICAL EDUCATION PROMOTION FUND,Deregistered,S93CC0986H,Not Applicable,Education,Local Educational Institutions/Funds,"Public awareness, promotion & advisory"
640,TECK GHEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T05CC1885K,From 01/10/2020 to 30/9/2023,Community,Central,"Financial assistance, bursaries & scholarships"
641,TEEN CHALLENGE ENTERPRISES LTD.,Registered,200306056R,Not Applicable,Social and Welfare,"Children/Youth,Community",Direct Services
642,TEMENGGONG ARTISTS-IN-RESIDENCE LTD.,Registered with IPC,200916397C,From 12/8/2021 to 11/8/2023,Arts and Heritage,Visual Arts,"Public awareness, promotion & advisory"
643,Tenrikyo Mission Center in Singapore,Registered,S71SS0034G,Not Applicable,Religious,Others,Direct Services Training & education
644,"Tent, The",Registered,T01SS0154B,Not Applicable,Social and Welfare,Children/Youth,Direct Services
645,TFA LALITA KALA COMPANY,Registered with IPC,200410925C,From 01/3/2022 to 29/2/2024,Arts and Heritage,Traditional Ethnic Performing Arts,
646,THE A CAPPELLA SOCIETY LTD.,Registered,200721181D,Not Applicable,Arts and Heritage,Music & Orchestras,"Public awareness, promotion & advisory Training & education"
647,THE ARTS FISSION COMPANY LTD,Registered with IPC,199403833N,From 06/11/2021 to 05/11/2023,Arts and Heritage,"Professional, Contemporary & Ethnic Dance",Training & education
648,THE ASSEMBLY OF CHRISTIANS OF SINGAPORE LTD,Registered,199003454W,Not Applicable,Religious,Christianity,
649,"THE BRETHREN CHAPEL, LTD",Registered,197802906K,Not Applicable,Religious,Christianity,
650,The Changi Mission Chapel,Registered,T17SS0092F,Not Applicable,Religious,Christianity,Direct Services Supports other Charities
651,THE CHINESE OPERA INSTITUTE,Registered with IPC,199504600N,From 17/1/2023 to 30/11/2023,Arts and Heritage,Traditional Ethnic Performing Arts,Training & education Research
652,THE CITY,Registered,S94SS0013L,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities"
653,THE COMMUNITY JUSTICE CENTRE LIMITED,Registered with IPC,201231446R,From 25/1/2023 to 24/1/2025,Others,General Charitable Purposes,Direct Services
654,THE COURAGE FUND LIMITED,Registered,201331791M,Not Applicable,Health,Others,"Financial assistance, bursaries & scholarships Supports other Charities"
655,THE ELLA DOROTHY WEARNE TRUST FUND,Registered,S86CC0314C,Not Applicable,Religious,Christianity,
656,The Evolution,Registered,T05SS0159B,Not Applicable,Religious,Christianity,Direct Services
657,THE FINGER PLAYERS LTD,Registered with IPC,199905145W,From 01/7/2021 to 30/6/2023,Arts and Heritage,Theatre & Dramatic Arts,"Public awareness, promotion & advisory Training & education"
658,THE FOOD BANK SINGAPORE LTD.,Registered with IPC,201200654E,From 01/2/2021 to 31/7/2023,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
659,The Friends of The University of Warwick in Singapore,Deregistered,T14CC0003B,From 13/6/2019 to 12/6/2022,Education,"Foreign Educational Institutions/Funds,Foundations & Trusts",Training & education
660,THE GREENHOUSE COMMUNITY SERVICES LTD.,Registered with IPC,202008502N,From 18/10/2022 to 17/10/2023,Social and Welfare,"Community,Family,Support Groups","Direct Services Public awareness, promotion & advisory Training & education Research"
661,THE HAGUE INTERNATIONAL MODEL UNITED NATIONS LIMITED,Registered,200507109D,Not Applicable,Others,General Charitable Purposes,
662,THE HUT LIMITED,Registered with IPC,202007365W,From 13/7/2021 to 12/7/2023,Social and Welfare,"Children/Youth,Community,Family","Direct Services Public awareness, promotion & advisory Training & education"
663,THE ISLAND FOUNDATION LTD.,Registered,201011968M,Not Applicable,Others,General Charitable Purposes,Direct Services Training & education
664,THE LEMON TREE FOUNDATION,Registered,T09CC0006A,Not Applicable,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships Training & education"
665,THE LOCAL SPIRITUAL ASSEMBLY O F THE BAHA'IS OF SERANGOON LTD,Registered,197901519E,Not Applicable,Religious,Others,
666,THE MALAY HERITAGE FOUNDATION LTD,Registered with IPC,199904358R,From 29/5/2022 to 28/5/2025,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory"
667,The Masonic Charitable Fund,Registered,T19CC0001B,Not Applicable,Education,Local Educational Institutions/Funds,"Financial assistance, bursaries & scholarships Training & education"
668,The Mission to Seafarers Singapore,Registered,S83SS0014K,Not Applicable,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory"
669,THE OBSERVATORY MUSIC LTD.,Registered,201102790R,Not Applicable,Arts and Heritage,Music & Orchestras,"Public awareness, promotion & advisory Research"
670,THE PRIVATE MUSEUM LTD.,Registered with IPC,201005410R,From 03/5/2022 to 02/5/2024,Arts and Heritage,"Historical & Cultural Conservation,Visual Arts","Public awareness, promotion & advisory"
671,THE PURPLE PARADE LTD.,Registered with IPC,201616367W,From 01/5/2022 to 30/4/2025,Social and Welfare,"Disability (Adult),Disability (Children)","Public awareness, promotion & advisory Supports other Charities"
672,THE RED PENCIL (SINGAPORE),Registered with IPC,201113675E,From 03/5/2022 to 02/11/2024,Social and Welfare,"Community,Disability (Adult),Disability (Children),Eldercare,Family,Support Groups","Direct Services Research Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory"
673,THE SIR MANASSEH MEYER SYNAGOGUE AND SCHOOL TRUST,Registered,S88CC0570H,Not Applicable,Religious,Others,
674,THE SMILE MISSION LTD.,Registered,200720373E,Not Applicable,Health,Others,"Direct Services Training & education Public awareness, promotion & advisory"
675,THE SPIRITUAL ASSEMBLY OF THE BAHA'IS OF SINGAPORE LTD.,Registered,197602001W,Not Applicable,Religious,Others,Training & education
676,THE SUBSTATION LTD,Registered with IPC,199506857R,From 01/7/2022 to 30/6/2023,Arts and Heritage,"Others,Theatre & Dramatic Arts,Training & Education,Visual Arts",Research
677,THE TABERNACLE CHURCH AND MISSIONS LIMITED,Registered,197700359D,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
678,THE TAN CHIN TUAN FOUNDATION,Registered,197600749E,Not Applicable,Others,General Charitable Purposes,
679,THE UNIVERSITY OF CHICAGO BOOTH SCHOOL OF BUSINESS,Registered,199900175N,Not Applicable,Education,Foreign Educational Institutions/Funds,Training & education
680,THE WAY CHURCH LIMITED,Registered,197902947R,Not Applicable,Religious,Christianity,Direct Services Supports other Charities
681,THE WELFARE SERVICES LIMITED,Registered,200104580C,Not Applicable,Social and Welfare,Community,
682,THE ZION GOSPEL MISSION LIMITED,Registered,197201822Z,Not Applicable,Religious,Christianity,
683,THINKING FAITH LTD.,Registered,200300390G,Not Applicable,Religious,Christianity,Training & education
684,THOMSON SHIN MIN FOUNDATION,Registered,199302864D,Not Applicable,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships Supports other Charities"
685,THONG CHAI INSTITUTE OF MEDICAL RESEARCH,Registered with IPC,200311661W,From 18/4/2022 to 17/4/2025,Health,TCM Clinic,Training & education Research
686,Tian Kong & Kancanarama Buddhist Temple,Registered,S93SS0035H,Not Applicable,Religious,Buddhism,Direct Services
687,Tian Kong Buddhist Temple,Registered,S84SS0034C,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships"
688,Tian Teck Keng Temple,Registered,S91SS0025D,Not Applicable,Religious,Taoism,Direct Services
689,Tibetan Buddhist Studies Society,Registered,S98SS0170J,Not Applicable,Religious,Buddhism,
690,Tien Sen Tua Temple,Registered,S93SS0019D,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory"
691,Tiong Bahru Qui Tian Gong Temple,Registered,S93SS0051A,Not Applicable,Religious,Taoism,Direct Services
692,Tiong Ghee Temple,Registered,S68SS0030L,Not Applicable,Religious,Taoism,Supports other Charities
693,Toa Payoh East CCC Community Development and Welfare Fund,Registered with IPC,T03CC1736B,From 01/10/2020 to 30/9/2023,Community,Central,"Financial assistance, bursaries & scholarships"
694,Toa Payoh West-Thomson CCC Community Development and Welfare Fund,Registered with IPC,T07CC2047L,From 01/1/2021 to 31/12/2023,Community,Central,"Financial assistance, bursaries & scholarships"
695,TONG SIAN TNG TEMPLE,Registered,S88CC0593F,Not Applicable,Religious,Buddhism,
696,TOONG CHAI ENGLISH PRESBYTERIAN CHURCH,Registered,T12SS0059K,Not Applicable,Religious,Christianity,Direct Services
697,TOUCH FAMILY SERVICES LIMITED,Registered,200703355N,Not Applicable,Social and Welfare,"Community,Family",Direct Services Training & education
698,TOUCH INTERNATIONAL LTD.,Registered,200614290G,Not Applicable,Others,"General Charitable Purposes,Humanitarian Aid",Direct Services
699,TOY FACTORY PRODUCTIONS LTD.,Registered with IPC,200613422M,From 28/6/2022 to 27/6/2024,Arts and Heritage,Theatre & Dramatic Arts,Direct Services
700,TP HEALTHCARE LTD.,Deregistered,200312163D,Not Applicable,Health,,
701,TRADITIONAL ARTS CENTRE (SINGAPORE) LTD.,Registered with IPC,201606080E,From 19/1/2022 to 18/7/2023,Arts and Heritage,"Traditional Ethnic Performing Arts,Training & Education","Direct Services Public awareness, promotion & advisory Training & education Research"
